date,inflation,unemployment,misery_index
1972-08-01,2.9484029484029284,5.6,8.548402948402927
1972-09-01,3.1862745098039325,5.5,8.686274509803933
1972-10-01,3.1784841075794823,5.6,8.778484107579482
1972-11-01,3.4146341463414664,5.3,8.714634146341467
1972-12-01,3.406326034063256,5.2,8.606326034063256
1973-01-01,3.6407766990291357,4.9,8.540776699029136
1973-02-01,3.864734299516903,5.0,8.864734299516904
1973-03-01,4.8309178743961345,4.9,9.730917874396134
1973-04-01,5.301204819277117,5.0,10.301204819277118
1973-05-01,5.528846153846145,4.9,10.428846153846145
1973-06-01,5.995203836930463,4.9,10.895203836930463
1973-07-01,5.741626794258381,4.8,10.54162679425838
1973-08-01,7.398568019093088,4.8,12.198568019093088
1973-09-01,7.3634204275534465,4.8,12.163420427553447
1973-10-01,8.056872037914697,4.6,12.656872037914697
1973-11-01,8.25471698113207,4.8,13.05471698113207
1973-12-01,8.94117647058823,4.9,13.84117647058823
1974-01-01,9.601873536299754,5.1,14.701873536299754
1974-02-01,9.999999999999986,5.2,15.199999999999985
1974-03-01,10.138248847926267,5.1,15.238248847926267
1974-04-01,10.068649885583515,5.1,15.168649885583514
1974-05-01,10.70615034168565,5.1,15.80615034168565
1974-06-01,10.859728506787313,5.4,16.25972850678731
1974-07-01,11.538461538461519,5.5,17.03846153846152
1974-08-01,10.888888888888882,5.5,16.388888888888882
1974-09-01,11.946902654867241,5.9,17.846902654867243
1974-10-01,11.842105263157897,6.0,17.842105263157897
1974-11-01,12.200435729847502,6.6,18.8004357298475
1974-12-01,12.095032397408211,7.2,19.29503239740821
1975-01-01,11.752136752136755,8.1,19.852136752136754
1975-02-01,11.205073995771686,8.1,19.305073995771686
1975-03-01,10.460251046025103,8.6,19.0602510460251
1975-04-01,10.187110187110182,8.8,18.987110187110183
1975-05-01,9.259259259259256,9.0,18.259259259259256
1975-06-01,9.183673469387754,8.8,17.983673469387753
1975-07-01,9.533468559837743,8.6,18.133468559837745
1975-08-01,8.617234468937895,8.4,17.017234468937893
1975-09-01,7.905138339920947,8.4,16.305138339920948
1975-10-01,7.647058823529407,8.4,16.047058823529408
1975-11-01,7.37864077669903,8.3,15.67864077669903
1975-12-01,7.129094412331405,8.2,15.329094412331404
1976-01-01,6.692160611854692,7.9,14.592160611854691
1976-02-01,6.273764258555126,7.7,13.973764258555125
1976-03-01,6.060606060606055,7.6,13.660606060606055
1976-04-01,5.849056603773595,7.7,13.549056603773595
1976-05-01,6.214689265536721,7.4,13.614689265536722
1976-06-01,5.981308411214958,7.6,13.581308411214959
1976-07-01,5.555555555555558,7.8,13.355555555555558
1976-08-01,5.719557195571956,7.8,13.519557195571956
1976-09-01,5.494505494505497,7.6,13.094505494505498
1976-10-01,5.464480874316946,7.7,13.164480874316947
1976-11-01,5.063291139240511,7.8,12.863291139240511
1976-12-01,5.035971223021574,7.8,12.835971223021573
1977-01-01,5.197132616487465,7.5,12.697132616487465
1977-02-01,6.082289803220031,7.6,13.68228980322003
1977-03-01,6.428571428571428,7.4,13.82857142857143
1977-04-01,6.951871657754016,7.2,14.151871657754016
1977-05-01,6.737588652482285,7.0,13.737588652482284
1977-06-01,6.701940035273357,7.2,13.901940035273357
1977-07-01,6.666666666666665,6.9,13.566666666666666
1977-08-01,6.631762652705064,7.0,13.631762652705063
1977-09-01,6.423611111111094,6.8,13.223611111111094
1977-10-01,6.390328151986191,6.8,13.19032815198619
1977-11-01,6.712564543889843,6.8,13.512564543889843
1977-12-01,6.67808219178081,6.4,13.07808219178081
1978-01-01,6.814310051107331,6.4,13.214310051107331
1978-02-01,6.2394603709949426,6.3,12.539460370994941
1978-03-01,6.375838926174482,6.3,12.675838926174482
1978-04-01,6.499999999999995,6.1,12.599999999999994
1978-05-01,7.14285714285714,6.0,13.142857142857139
1978-06-01,7.438016528925617,5.9,13.338016528925618
1978-07-01,7.7302631578947345,6.2,13.930263157894736
1978-08-01,7.855973813420625,5.9,13.755973813420624
1978-09-01,8.482871125611746,6.0,14.482871125611746
1978-10-01,8.92857142857142,5.8,14.72857142857142
1978-11-01,8.870967741935477,5.9,14.770967741935477
1978-12-01,8.988764044943842,6.0,14.988764044943842
1979-01-01,9.250398724082931,5.9,15.150398724082931
1979-02-01,9.84126984126985,5.9,15.741269841269851
1979-03-01,10.252365930599371,5.8,16.052365930599372
1979-04-01,10.485133020344284,5.8,16.285133020344283
1979-05-01,10.697674418604652,5.6,16.29767441860465
1979-06-01,11.076923076923073,5.7,16.776923076923072
1979-07-01,11.45038167938932,5.7,17.15038167938932
1979-08-01,11.836115326251884,6.0,17.836115326251885
1979-09-01,11.879699248120312,5.9,17.779699248120313
1979-10-01,12.071535022354718,6.0,18.071535022354716
1979-11-01,12.592592592592599,5.9,18.4925925925926
1979-12-01,13.254786450662737,6.0,19.254786450662735
1980-01-01,13.868613138686126,6.3,20.168613138686126
1980-02-01,14.161849710982644,6.3,20.461849710982644
1980-03-01,14.592274678111572,6.3,20.892274678111573
1980-04-01,14.589235127478762,6.9,21.489235127478764
1980-05-01,14.425770308123242,7.5,21.92577030812324
1980-06-01,14.265927977839322,7.6,21.86592797783932
1980-07-01,13.15068493150684,7.8,20.95068493150684
1980-08-01,12.890094979647216,7.7,20.590094979647215
1980-09-01,12.768817204301076,7.5,20.268817204301076
1980-10-01,12.632978723404253,7.5,20.132978723404253
1980-11-01,12.631578947368416,7.5,20.131578947368418
1980-12-01,12.353706111833551,7.2,19.553706111833552
1981-01-01,11.794871794871797,7.5,19.294871794871796
1981-02-01,11.392405063291132,7.4,18.792405063291135
1981-03-01,10.611735330836458,7.4,18.01173533083646
1981-04-01,10.135970333745359,7.2,17.335970333745358
1981-05-01,9.79192166462668,7.5,17.291921664626678
1981-06-01,9.696969696969692,7.5,17.196969696969692
1981-07-01,10.774818401937058,7.2,17.974818401937057
1981-08-01,10.817307692307686,7.4,18.217307692307685
1981-09-01,10.96543504171632,7.6,18.56543504171632
1981-10-01,10.271546635182993,7.9,18.17154663518299
1981-11-01,9.579439252336464,8.3,17.879439252336464
1981-12-01,8.912037037037024,8.5,17.412037037037024
1982-01-01,8.25688073394495,8.6,16.856880733944948
1982-02-01,7.613636363636367,8.9,16.513636363636365
1982-03-01,6.884875846501148,9.0,15.88487584650115
1982-04-01,6.621773288439958,9.3,15.921773288439958
1982-05-01,6.911928651059096,9.4,16.311928651059098
1982-06-01,7.182320441988943,9.6,16.782320441988944
1982-07-01,6.557377049180335,9.8,16.357377049180336
1982-08-01,5.965292841648595,9.8,15.765292841648595
1982-09-01,4.940923737916236,10.1,15.040923737916236
1982-10-01,5.032119914346889,10.4,15.432119914346888
1982-11-01,4.47761194029852,10.8,15.27761194029852
1982-12-01,3.825717321997879,10.8,14.625717321997879
1983-01-01,3.7076271186440746,10.4,14.107627118644075
1983-02-01,3.484688489968324,10.4,13.884688489968324
1983-03-01,3.5902851108764455,10.3,13.890285110876446
1983-04-01,4.0000000000000036,10.2,14.200000000000003
1983-05-01,3.44108446298228,10.1,13.54108446298228
1983-06-01,2.4742268041237248,10.1,12.574226804123725
1983-07-01,2.358974358974364,9.4,11.758974358974363
1983-08-01,2.456499488229258,9.5,11.956499488229259
1983-09-01,2.763561924257929,9.2,11.963561924257927
1983-10-01,2.752293577981657,8.8,11.552293577981658
1983-11-01,3.1632653061224536,8.5,11.663265306122454
1983-12-01,3.7871033776867957,8.3,12.087103377686796
1984-01-01,4.290091930541351,8.0,12.290091930541351
1984-02-01,4.693877551020398,7.8,12.493877551020397
1984-03-01,4.892966360856277,7.8,12.692966360856277
