date,inflation,unemployment,misery_index
2022-12-01,64.26960333573074,10.3,74.56960333573073
2023-01-01,57.682482561772154,9.7,67.38248256177215
2023-02-01,55.17982426564796,9.9,65.07982426564796
2023-03-01,50.50849656446286,10.1,60.60849656446286
2023-04-01,43.68418521209776,10.1,53.78418521209776
2023-05-01,39.585311413570736,9.5,49.085311413570736
2023-06-01,38.21353102158176,9.3,47.513531021581755
2023-07-01,47.83174262366092,9.4,57.23174262366092
2023-08-01,58.94351798566135,9.2,68.14351798566135
2023-09-01,61.52985679263594,9.0,70.52985679263594
2023-10-01,61.35702284998741,8.5,69.8570228499874
2023-11-01,61.980166511208836,8.9,70.88016651120884
2023-12-01,64.77291384796358,8.8,73.57291384796358
2024-01-01,64.85690430709654,9.1,73.95690430709654
2024-02-01,67.06919599935175,8.6,75.66919599935174
2024-03-01,68.49538961025634,8.8,77.29538961025634
2024-04-01,69.80245659940239,8.6,78.40245659940238
2024-05-01,75.44594574558843,8.4,83.84594574558844
2024-06-01,71.59714372363595,9.1,80.69714372363595
2024-07-01,61.780991615475855,9.0,70.78099161547586
2024-08-01,51.97452891437633,8.5,60.47452891437633
2024-09-01,49.3849892725043,8.6,57.9849892725043
2024-10-01,48.58470580032552,8.8,57.38470580032552
2024-11-01,47.09269223895234,8.5,55.59269223895234
2024-12-01,44.37872990286329,8.4,52.77872990286329
2025-01-01,42.118006781183716,8.5,50.618006781183716
2025-02-01,39.050996066497,8.2,47.250996066496995
2025-03-01,38.10382085435074,8.0,46.10382085435074
2025-04-01,37.85861572523965,8.6,46.45861572523965
